SKU,title,reason,has_price_row,has_buy,has_listino,has_stock_row,qty,passes_qty,has_image
101414,Cartella portaprogetti Sei Rota Spazio - dorso 8 cm verde - 26x36 cm 67890805,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,4.0,False,True
101422,Cartella portaprogetti Sei Rota Spazio - dorso 12 cm verde - 26x36 cm 67891205,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,0.0,False,True
101973,"Etichette bianche con margini TICO Copy Laser Premium 38x21,2 mm - 65 et./foglio - conf. 100 fogli - LP4W-3821",SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,1.0,False,True
101982,Etichette bianche senza margini TICO Copy Laser Premium 70x25 mm - 36 et./foglio - conf. 100 fogli - LP4W-7025,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,1.0,False,True
101991,"Etichette bianche con angoli arrotondati TICO Copy Laser Premium 99,1x93,1 mm 6 et./foglio - conf. 100 fogli - LP4W-9993",SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,0.0,False,True
101996,Etichette bianche con margini TICO Copy Laser Premium 105x57 mm - 10 et./foglio - conf. 100 fogli LP4W-10557,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,0.0,False,True
102010,"Etichette arancione fluo con angoli arrotondati TICO Copy Laser 47,5x25,5 mm 44 et/foglio - conf. 70 fogli LP4FA-4725",SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,0.0,False,True
102019,"Etichette verde fluo con angoli arrotondati TICO Copy Laser  99,1x34 mm 16 et/foglio - conf. 70 fogli LP4FV-9934",SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,4.0,False,True
102021,"Etichette arancio fluo con angoli arrotondati TICO Copy Laser 99,1x67,7 mm 8 et./foglio - conf. 70 fogli LP4FA-9967",SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,0.0,False,True
102025,Etichette arancione fluo con angoli arrotondati TICO Copy Laser 200x142 mm 2 et./foglio conf. 70 fogli LP4FA-200142,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,0.0,False,True
102241,Hard Disk Esterno Verbatim Store'n ' Save 3.0 2 TB nero - 47683,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,4.0,False,True
102244,Hard Disk Esterno Verbatim Store 'n' Go USB 3.0 1 TB nero - 53194,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,3.0,False,True
102245,Hard Disk Esterno Verbatim Store 'n' Go USB 3.0 2 TB nero - 53195,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,2.0,False,True
102246,Hard Disk Esterno Verbatim Store 'n' Go USB 3.0 4 TB nero - 53223,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,3.0,False,True
102247,Hard Disk Esterno Verbatim Store 'n' Go USB 3.0 1 TB argento - 53197,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,3.0,False,True
102248,Hard Disk Esterno Verbatim Store 'n' Go USB 3.0 2 TB argento - 53198,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,2.0,False,True
102252,Hard Disk Esterno Verbatim Store'n' Go Secure 3.1 con tastierino d'accesso 1 TB nero - 53401,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,0.0,False,True
102257,Flash Memory Card SDHC Verbatim 16 GB  43962,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,4.0,False,True
102270,DVD-R Wide Stampabile Verbatim 4.7 GB Spindle Case in confezione da 25 dvd - 43538,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,4.0,False,True
102274,Blu-Ray BD-RE Verbatim 25 GB 2x Jewel Case conf. da 5 - 43615,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,3.0,False,True
102280,DVD+R Double Layer Verbatim Jewel case 8.5 GB - velocità 8x conf. da 5 - 43541,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,3.0,False,True
102325,Chiavetta USB 2.0 Store 'n' Stay Nano Verbatim 32 GB 98130,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,2.0,False,True
102327,Chiavetta  USB 3.0 Metal Executive Verbatim 32 GB 99105,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,0.0,False,True
102336,Raccoglitore Euro-cart Iris A4 dorso 4 cm - 4 anelli tondi 30 mm blu CPCL4-30BLU,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,0.0,False,True
102515,Etichette bianco lucido TICO Press Glossy 36x22 mm - 55 et./foglio - conf. 100 fogli - PG4-3622,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,3.0,False,True
102516,Etichette ovali TICO Press Glossy 36x27 mm bianco lucido - 50 et./foglio - conf. 100 fogli - PG4-3627,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,3.0,False,True
102517,Etichette bianco lucido TICO Press Glossy 45x25 mm - 40 et./foglio - conf. 100 fogli - PG4-4525,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,2.0,False,True
102519,Etichette bianco lucido TICO Press Glossy 61x28 mm - 27 et./foglio - conf. 100 fogli - PG4-6128,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,2.0,False,True
102520,Etichette bianco lucido TICO Press Glossy 61x36 mm - 21 et./foglio - conf. 100 fogli - PG4-6136,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,2.0,False,True
102534,Plastificatrice a caldo Q-Connect a 2 rulli nero A3 KF17003,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,3.0,False,True
102551,"Etichette universali Q-Connect bianco 70x42,3 mm - 21 et./foglio - conf. da 100 fogli - KF10649",SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,1.0,False,True
102561,Etichette universali Q-Connect per CD/DVD Ø 116 mm bianco 2. et/foglio Conf. 25 fogli - KF01579,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,3.0,False,True
102733,Foglietti riposizionabili Q-Connect 70 g/m² arancio neon 76x76 mm 6 blocchetti da 80 ff - KF10517,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,3.0,False,True
102740,Foglietti riposizionabili Q-Connect 100% materiale riciclato 65 g/m² giallo 76x127mm  12 blocc. da 100 ff - KF05610,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,4.0,False,True
102853,"Cartellina con clip Q-Connect PVC 22x30,7 cm blu KF00462",SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,0.0,False,True
102929,Marcatore a tempera POSCA Uni-Ball punta a scalpello 8 mm giallo M PC8K G,SCARTO_STOCK_SOTTO_SOGLIA,True,True,True,True,0.0,False,True
